"CATEGORY (do NOT modify)","TEXT TO TRANSLATE (do NOT modify)","TRANSLATION (edit this column)","NOTES (do NOT modify)"
"default","Hebrew","",""
"default","Greek","",""
"default","{{verse}}a","",""
"default","{{verse}}b","",""
"default","{{book}} {{start_chapter}}â€“{{end_chapter}}","",""
"default","{{book}} {{chapter}}","",""
"default","There was a critical error. The app will reload in a few seconds. Please contact us if you continue to receive this message.","",""
"default","There was an unknown error. Please contact us if you continue to receive this message.","",""
"book","Matthew","",""
"book","Mark","",""
"book","Luke","",""
"book","John","",""
"book","Acts","",""
"book","Romans","",""
"book","1 Corinthians","",""
"book","2 Corinthians","",""
"book","Galatians","",""
"book","Ephesians","",""
"book","Philippians","",""
"book","Colossians","",""
"book","1 Thessalonians","",""
"book","2 Thessalonians","",""
"book","1 Timothy","",""
"book","2 Timothy","",""
"book","Titus","",""
"book","Philemon","",""
"book","Hebrews","",""
"book","James","",""
"book","1 Peter","",""
"book","2 Peter","",""
"book","1 John","",""
"book","2 John","",""
"book","3 John","",""
"book","Jude","",""
"book","Revelation","",""
"book","Mt","","Abbreviation for Matthew"
"book","Mrk","","Abbreviation for Mark"
"book","Lk","","Abbreviation for Luke"
"book","Jhn","","Abbreviation for John"
"book","Act","","Abbreviation for Acts"
"book","Rom","","Abbreviation for Romans"
"book","1Co","","Abbreviation for 1 Corinthians"
"book","2Co","","Abbreviation for 2 Corinthians"
"book","Gal","","Abbreviation for Galatians"
"book","Eph","","Abbreviation for Ephesians"
"book","Php","","Abbreviation for Philippians"
"book","Col","","Abbreviation for Colossians"
"book","1Th","","Abbreviation for 1 Thessalonians"
"book","2Th","","Abbreviation for 2 Thessalonians"
"book","1Ti","","Abbreviation for 1 Timothy"
"book","2Ti","","Abbreviation for 2 Timothy"
"book","Tts","","Abbreviation for Titus"
"book","Phm","","Abbreviation for Philemon"
"book","Heb","","Abbreviation for Hebrews"
"book","Jam","","Abbreviation for James"
"book","1Pe","","Abbreviation for 1 Peter"
"book","2Pe","","Abbreviation for 2 Peter"
"book","1Jn","","Abbreviation for 1 John"
"book","2Jn","","Abbreviation for 2 John"
"book","3Jn","","Abbreviation for 3 John"
"book","Jud","","Abbreviation for Jude"
"book","Rev","","Abbreviation for Revelation"
"grammar","adjective","",""
"grammar","conjunction","",""
"grammar","adverb","",""
"grammar","noun","",""
"grammar","pronoun","",""
"grammar","preposition","",""
"grammar","particle","",""
"grammar","verb","",""
"grammar","1st","",""
"grammar","2nd","",""
"grammar","3rd","",""
"grammar","masculine","",""
"grammar","feminine","",""
"grammar","gender-both","",""
"grammar","common","",""
"grammar","singular","",""
"grammar","plural","",""
"grammar","dual","",""
"grammar","absolute","",""
"grammar","construct","",""
"grammar","determined","",""
"grammar","cardinal-number","",""
"grammar","ordinal-number","",""
"grammar","gentilic","",""
"grammar","proper-name","",""
"grammar","demonstrative","",""
"grammar","indefinite","",""
"grammar","interrogative","",""
"grammar","personal","",""
"grammar","relative","",""
"grammar","definite-article","",""
"grammar","directional","",""
"grammar","paragogic","",""
"grammar","affirmation","",""
"grammar","exhortation","",""
"grammar","interjection","",""
"grammar","negative","",""
"grammar","direct-object-marker","",""
"grammar","qal","",""
"grammar","niphal","",""
"grammar","piel","",""
"grammar","pual","",""
"grammar","hiphil","",""
"grammar","hophal","",""
"grammar","hithpael","",""
"grammar","polel","",""
"grammar","polal","",""
"grammar","hithpolel","",""
"grammar","poel","",""
"grammar","poal","",""
"grammar","palel","",""
"grammar","pulal","",""
"grammar","qal passive","",""
"grammar","pilpel","",""
"grammar","polpal","",""
"grammar","hithpalpel","",""
"grammar","nithpael","",""
"grammar","pealal","",""
"grammar","pilel","",""
"grammar","hothpaal","",""
"grammar","tiphil","",""
"grammar","hishtaphel","",""
"grammar","nithpalel","",""
"grammar","nithpoel","",""
"grammar","hithpoel","",""
"grammar","peal","",""
"grammar","peil","",""
"grammar","hithpeel","",""
"grammar","pael","",""
"grammar","ithpaal","",""
"grammar","hithpaal","",""
"grammar","aphel","",""
"grammar","haphel","",""
"grammar","saphel","",""
"grammar","shaphel","",""
"grammar","ithpeel","",""
"grammar","ishtaphel","",""
"grammar","hithaphel","",""
"grammar","ithpoel","",""
"grammar","hephal","",""
"grammar","tiphel","",""
"grammar","palpel","",""
"grammar","ithpalpel","",""
"grammar","ithpolel","",""
"grammar","ittaphal","",""
"grammar","perfect","",""
"grammar","sequential-perfect","",""
"grammar","imperfect","",""
"grammar","sequential-imperfect","",""
"grammar","cohortative","",""
"grammar","jussive","",""
"grammar","imperative","",""
"grammar","participle","",""
"grammar","passive-participle","",""
"grammar","infinitive-absolute","",""
"grammar","infinitive-construct","",""
"grammar","suffix","",""
"grammar","determiner","",""
"grammar","foreign","",""
"grammar","substantive","",""
"grammar","predicate","",""
"grammar","ascriptive","",""
"grammar","restrictive","",""
"grammar","article","",""
"grammar","differential","",""
"grammar","possessive","",""
"grammar","quantifier","",""
"grammar","number","",""
"grammar","ordinal","",""
"grammar","reflexive","",""
"grammar","reciprocal","",""
"grammar","transitive","",""
"grammar","intransitive","",""
"grammar","linking","",""
"grammar","modal","",""
"grammar","periphrastic","",""
"grammar","exclamation","",""
"grammar","directive","",""
"grammar","response","",""
"grammar","improper-preposition","",""
"grammar","correlative","",""
"grammar","coordinating","",""
"grammar","subordinating","",""
"grammar","indicative","",""
"grammar","subjunctive","",""
"grammar","optative","",""
"grammar","infinitive","",""
"grammar","present","",""
"grammar","future","",""
"grammar","aorist","",""
"grammar","pluperfect","",""
"grammar","active","",""
"grammar","middle","",""
"grammar","passive","",""
"grammar","nominative","",""
"grammar","genitive","",""
"grammar","dative","",""
"grammar","accusative","",""
"grammar","vocative","",""
"grammar","neuter","",""
"grammar","comparative","",""
"grammar","superlatives","",""
"grammar","diminutive","",""
"grammar","indeclinable","",""